#file creation series : 11.Oct.2013
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 48005085  22   1   u    0       0         14              0      HF   -33     5      1
 48004F85  22   1   u    0       0         14              1      HF   -31     5      1
 48004E85  22   1   u    0       0         14              2      HF   -29     5      1
 48005005  22   1   u    0       0         15              0      HF   -32     5      1
 48004F05  22   1   u    0       0         15              1      HF   -30     5      1
 48005105  22   1   u    0       0         15              2      HF   -34     5      1
 48009085  22   1   u    0       0         16              0      HF   -33     5      2
 48008F85  22   1   u    0       0         16              1      HF   -31     5      2
 48008E85  22   1   u    0       0         16              2      HF   -29     5      2
 48009005  22   1   u    0       0         17              0      HF   -32     5      2
 48008F05  22   1   u    0       0         17              1      HF   -30     5      2
 48009105  22   1   u    0       0         17              2      HF   -34     5      2
 48009103  22   1   u    0       0         18              0      HF   -34     3      2
 48009003  22   1   u    0       0         18              1      HF   -32     3      2
 48008F03  22   1   u    0       0         18              2      HF   -30     3      2
 48008F83  22   1   u    0       0         19              0      HF   -31     3      2
 48008E83  22   1   u    0       0         19              1      HF   -29     3      2
 48009083  22   1   u    0       0         19              2      HF   -33     3      2
 48005103  22   1   u    0       0         20              0      HF   -34     3      1
 48005003  22   1   u    0       0         20              1      HF   -32     3      1
 48004F03  22   1   u    0       0         20              2      HF   -30     3      1
 48004F83  22   1   u    0       0         21              0      HF   -31     3      1
 48004E83  22   1   u    0       0         21              1      HF   -29     3      1
 48005083  22   1   u    0       0         21              2      HF   -33     3      1
 48005483  22   1   u    0       0          2              0      HF   -41     3      1
 48005285  22   1   u    0       0          2              1      HF   -37     5      1
 48005185  22   1   u    0       0          2              2      HF   -35     5      1
 48005305  22   1   u    0       0          3              0      HF   -38     5      1
 48005205  22   1   u    0       0          3              1      HF   -36     5      1
 48005385  22   1   u    0       0          3              2      HF   -39     5      1
 48009483  22   1   u    0       0          4              0      HF   -41     3      2
 48009285  22   1   u    0       0          4              1      HF   -37     5      2
 48009185  22   1   u    0       0          4              2      HF   -35     5      2
 48009305  22   1   u    0       0          5              0      HF   -38     5      2
 48009205  22   1   u    0       0          5              1      HF   -36     5      2
 48009385  22   1   u    0       0          5              2      HF   -39     5      2
 48009403  22   1   u    0       0          6              0      HF   -40     3      2
 48009303  22   1   u    0       0          6              1      HF   -38     3      2
 48009203  22   1   u    0       0          6              2      HF   -36     3      2
 48009283  22   1   u    0       0          7              0      HF   -37     3      2
 48009183  22   1   u    0       0          7              1      HF   -35     3      2
 48009383  22   1   u    0       0          7              2      HF   -39     3      2
 48005403  22   1   u    0       0          8              0      HF   -40     3      1
 48005303  22   1   u    0       0          8              1      HF   -38     3      1
 48005203  22   1   u    0       0          8              2      HF   -36     3      1
 48005283  22   1   u    0       0          9              0      HF   -37     3      1
 48005183  22   1   u    0       0          9              1      HF   -35     3      1
 48005383  22   1   u    0       0          9              2      HF   -39     3      1
 48005089  22   2   u    0       0         14              0      HF   -33     9      1
 48004F89  22   2   u    0       0         14              1      HF   -31     9      1
 48004E89  22   2   u    0       0         14              2      HF   -29     9      1
 48005009  22   2   u    0       0         15              0      HF   -32     9      1
 48004F09  22   2   u    0       0         15              1      HF   -30     9      1
 48005109  22   2   u    0       0         15              2      HF   -34     9      1
